DCA License Number,Business Name,Business Name 2,Industry,Event Type,Event Date,Status
1028554-DCA,GINO LOFRANO INC.,,Home Improvement Contractor,Surrendered,5/20/2005,Inactive
1044029-DCA,"MOHAMED, NASSER MOHAMED ALI",EASTERN STAR GROCERY,Tobacco Retail Dealer,Suspended,5/20/2005,Inactive
1064012-DCA,CHOICE CENTRAL FOOD MARKET CORP,,Tobacco Retail Dealer,Suspended,5/20/2005,Inactive
1068091-DCA,"RAGUSA, JANET",VALENTINE NEWSTAND,Tobacco Retail Dealer,Suspended,5/20/2005,Inactive
1097026-DCA,"PAULINO, ARCENIO",PAULINO'S DELI-GROCERY,Tobacco Retail Dealer,Revoked,5/20/2005,Inactive
1114441-DCA,A & Z GENERAL CONTRACTING INC.,,Home Improvement Contractor,Revoked,5/20/2005,Inactive
1147572-DCA,"CRUZ-CAMACHO, JORGE J",JORGE CONSTRUCTION,Home Improvement Contractor,Surrendered,5/20/2005,Inactive
1152331-DCA,NOSTRAND FURNITURE LIQUIDATION INC,,Secondhand Dealer - General,Surrendered,5/20/2005,Inactive
1156889-DCA,"MARTE, LUIS",MARTE DELI GROCERY,Tobacco Retail Dealer,Suspended,5/20/2005,Inactive
1158325-DCA,"YAHYA, AMIN DAHAN",LA FAMILIA YAHYA GROCERY STORE,Tobacco Retail Dealer,Surrendered,5/20/2005,Inactive
1158479-DCA,"SHEMA ENTERPRISE, INC.",,Tobacco Retail Dealer,Surrendered,5/20/2005,Inactive
1160814-DCA,"GLOBAL HERITAGE, INC.",,Tobacco Retail Dealer,Suspended,5/20/2005,Inactive
1165345-DCA,3530 GROCERY CORP.,,Tobacco Retail Dealer,Revoked,5/20/2005,Inactive
1165656-DCA,SWEET & GREEN CORP.,,Stoop Line Stand,Suspended,5/20/2005,Inactive
1165745-DCA,T & S FOOD CORP.,,Tobacco Retail Dealer,Revoked,5/20/2005,Inactive
1114443-DCA,,,Home Improvement Salesperson,Revoked,5/20/2005,Inactive
0883414-DCA,TBT RESTAURANT CORP.,TERESA'S RESTAURANT,Sidewalk Cafe,Surrendered,5/23/2005,Inactive
0902118-DCA,A & R ELECTRONIC SOUND INC.,,Electronics Store,Suspended,5/23/2005,Inactive
1055979-DCA,"ANAM HALLMARK STORE, INC.",,Tobacco Retail Dealer,Suspended,5/23/2005,Inactive
1115911-DCA,L & K INC,EMMA'S DILEMMA,Tobacco Retail Dealer,Revoked,5/23/2005,Inactive
1126938-DCA,FULL LINE INC.,,Secondhand Dealer - General,Surrendered,5/23/2005,Inactive
1150933-DCA,"USA DAY & NIGHT GROCERY, INC.",USA DAY AND NIGHT GROCERY,Tobacco Retail Dealer,Revoked,5/23/2005,Inactive
0905363-DCA,SHUEN FAI CONTRACTOR CO. INC.,,Home Improvement Contractor,Surrendered,5/24/2005,Inactive
0969721-DCA,"RODRIGUEZ, RUBEN",CARROS DE PENNSYLVANIA,Secondhand Dealer - Auto,Surrendered,5/24/2005,Inactive
1173774-DCA,TEAMWORK CONSTRUCTION LLC,,Home Improvement Contractor,Surrendered,5/24/2005,Inactive
1163933-DCA,,,Tow Truck Driver,Suspended,5/24/2005,Inactive
0812990-DCA,"MICELI, XIOMARA",,Newsstand,Surrendered,5/25/2005,Inactive
0834131-DCA,"GONDAL, NAVEED FARRO",SKY VIEW CONSTRUCTION CORP.,Home Improvement Contractor,Surrendered,5/25/2005,Inactive
0977621-DCA,ABCO CONSTRUCTION N.Y. INC.,,Home Improvement Contractor,Surrendered,5/25/2005,Inactive
0981744-DCA,"PROTECT ROOFING & GENERAL CONTRACTING, INC.",,Home Improvement Contractor,Surrendered,5/25/2005,Inactive
1000622-DCA,UNIVERSAL HOME IMPROVEMENT INC.,UNIVERSAL WINDOW COMPANY,Home Improvement Contractor,Surrendered,5/25/2005,Inactive
1185203-DCA,"XI, SU",GOLDEN HAMMER CONSTRUCTION,Home Improvement Contractor,Surrendered,5/25/2005,Inactive
1198295-DCA,,,Temporary Street Fair Vendor,Revoked,5/25/2005,Inactive
0979345-DCA,AGALLU INC.,,Electronic & Appliance Service,Surrendered,5/26/2005,Inactive
1049689-DCA,"LINARES, JOSE",NAYDALIS FOOD CENTER,Tobacco Retail Dealer,Surrendered,5/26/2005,Inactive
1109647-DCA,ORAN PLUMBING COMPANY INC.,,Home Improvement Contractor,Surrendered,5/26/2005,Inactive
0964216-DCA,NV LIMITED PARTNERSHIP,,Cabaret,Suspended,5/27/2005,Inactive
1128091-DCA,,,Horse Drawn Driver,Suspended,5/27/2005,Inactive
0953203-DCA,GOODFELLOWS AUTO BROKERAGE CORP.,,Secondhand Dealer - Auto,Suspended,5/31/2005,Inactive
0991385-DCA,"RNP CONSTRUCTION, INC.",,Home Improvement Contractor,Surrendered,5/31/2005,Inactive
1002044-DCA,1 & M CONTRACTING CO,,Home Improvement Contractor,Surrendered,5/31/2005,Inactive
1098496-DCA,"ALMONTE, LEONARD",ALMONTE GROCERY FOOD,Tobacco Retail Dealer,Surrendered,5/31/2005,Inactive
1155099-DCA,"GIRARDIN, ALBERT E",ALBERT E GIRARDIN CONTRACTING,Home Improvement Contractor,Surrendered,5/31/2005,Inactive
1182258-DCA,"APPROVED GENERAL CONTRACTING, LLC",,Home Improvement Contractor,Surrendered,5/31/2005,Inactive
1042946-DCA,"PATEL, AMRISH B",KETAN GROCERY,Tobacco Retail Dealer,Surrendered,6/1/2005,Inactive
1126235-DCA,BUSHWICK & FURMAN C-STORE INC.,,Tobacco Retail Dealer,Suspended,6/1/2005,Inactive
1092584-DCA,,,Horse Drawn Driver,Suspended,6/1/2005,Inactive
0840249-DCA,,,Tow Truck Driver,Suspended,6/1/2005,Inactive
0903952-DCA,"KWAK, JOONG SUK","LAST CHANCE MARKET, INC.",Stoop Line Stand,Suspended,6/2/2005,Inactive
0988796-DCA,"AUTO MAGIC TRANSPORT, INC.",,Tow Truck Company,Suspended,6/2/2005,Inactive
1158679-DCA,MY BOYZ FRUIT MARKET & GROCERY CORP.,,Tobacco Retail Dealer,Revoked,6/2/2005,Inactive
0832545-DCA,"DESAI, PRAFULLA H",,Newsstand,Surrendered,6/3/2005,Inactive
1129206-DCA,"ROMANO, RAYMOND M",RAYMOND ROMANO HOME IMPROVEMENTS,Home Improvement Contractor,Surrendered,6/3/2005,Inactive
1129249-DCA,"BROWN, REGINALD",,Newsstand,Surrendered,6/3/2005,Inactive
1139826-DCA,"B & B INTERIORS, CORP.",BAIKOFF & BAIKOFF INTERIORS,Home Improvement Contractor,Surrendered,6/3/2005,Inactive
1161048-DCA,"FLEMING, SEAN W",FLEMING CONTRACTING,Home Improvement Contractor,Surrendered,6/3/2005,Inactive
1162184-DCA,"AZIZ, TAWFIQ K",4 WEST GROCERY,Tobacco Retail Dealer,Revoked,6/3/2005,Inactive
1185650-DCA,STANDARD PARKING CORPORATION,,Parking Lot,Surrendered,6/3/2005,Inactive
1187414-DCA,STANDARD PARKING CORPORATION,,Parking Lot,Surrendered,6/3/2005,Inactive
1000302-DCA,"LINDER, DAVID","KIMBA, CORP.",Home Improvement Contractor,Surrendered,6/4/2005,Inactive
0892645-DCA,"PETE & JOE'S AUTOBODY, INC.",,Secondhand Dealer - General,Surrendered,6/6/2005,Inactive
1143506-DCA,"FIFTH AND FIFTH, INC.",,Tobacco Retail Dealer,Revoked,6/6/2005,Inactive
1184120-DCA,"MARIN, JAMES N.",BUNKER PAINTING,Home Improvement Contractor,Surrendered,6/6/2005,Inactive
1149666-DCA,,,Horse Drawn Driver,Suspended,6/6/2005,Inactive
0785358-DCA,"FUSCO, ALFONSO",,Stoop Line Stand,Surrendered,6/7/2005,Inactive
0898807-DCA,"CAMBRIDGE CAMAERA EXCHANGE, INC",,Electronics Store,Suspended,6/7/2005,Inactive
1098469-DCA,"PROSPEROUS XU'S CONSTRUCTION, INC.",,Home Improvement Contractor,Surrendered,6/7/2005,Inactive
1157952-DCA,"ANDRIANOVS, VALERIJS",,Home Improvement Contractor,Surrendered,6/7/2005,Inactive
1024149-DCA,DEBI GENERAL CONSTRUCTION INC.,,Home Improvement Contractor,Surrendered,6/8/2005,Inactive
1059986-DCA,S.A.S. CONCRETE CONTRACTORS CORP.,,Home Improvement Contractor,Surrendered,6/8/2005,Inactive
1118533-DCA,"TUBIOLO, SEAN G",PRECISION CONSTRUCTION,Home Improvement Contractor,Surrendered,6/8/2005,Inactive
1134045-DCA,EXCLUSIVE AUTO BODY & TOWING INC.,,Tow Truck Company,Suspended,6/8/2005,Inactive
1154512-DCA,"GONZALEZ, ERIKA Y",FLAT FIX SOLUTION,Secondhand Dealer - General,Surrendered,6/9/2005,Inactive
1167451-DCA,"MARTE, JOSE L",J & R DELI GROCERY,Tobacco Retail Dealer,Revoked,6/9/2005,Inactive
0979727-DCA,,,Tow Truck Driver,Suspended,6/9/2005,Inactive
0866673-DCA,,,Tow Truck Driver,Suspended,6/9/2005,Inactive
1057662-DCA,HUDSON NEWS COMPANY,HUDSON NEWS,Tobacco Retail Dealer,Surrendered,6/10/2005,Inactive
1067185-DCA,"SCANLON, CORNELIUS",EURO CONTRACTING,Home Improvement Contractor,Surrendered,6/10/2005,Inactive
1136197-DCA,"PERALTA, JOSE",PUERTO ALEGRE #2,Tobacco Retail Dealer,Suspended,6/10/2005,Inactive
1159799-DCA,DIMON MASTER BUILDERS CORP.,,Home Improvement Contractor,Surrendered,6/10/2005,Inactive
1161953-DCA,"HOTI GROCERY STORE, INC.",,Tobacco Retail Dealer,Suspended,6/10/2005,Inactive
1174255-DCA,"ANA DELI & GROCERY, INC.",,Tobacco Retail Dealer,Surrendered,6/10/2005,Inactive
1189942-DCA,,,Tow Truck Driver,Suspended,6/10/2005,Inactive
0817780-DCA,"AGOSTINO QUALITY CARPENTRY, INC.",,Home Improvement Contractor,Surrendered,6/13/2005,Inactive
1020482-DCA,"A&M BUILDING AND CONDO MAINTENANCE, INC.",,Home Improvement Contractor,Surrendered,6/13/2005,Inactive
1122284-DCA,SUPER 218 FOOD CORP.,,Tobacco Retail Dealer,Suspended,6/13/2005,Inactive
0824378-DCA,,,Home Improvement Salesperson,Surrendered,6/13/2005,Inactive
1046302-DCA,"4105 FOOD PLAZA, INC.",,Tobacco Retail Dealer,Surrendered,6/14/2005,Inactive
1108984-DCA,MAERS HOME IMPROVEMENTS INC.,,Home Improvement Contractor,Surrendered,6/14/2005,Inactive
1027497-DCA,,,Tow Truck Driver,Suspended,6/14/2005,Inactive
1082018-DCA,,,Tow Truck Driver,Suspended,6/14/2005,Inactive
1058078-DCA,,,Tow Truck Driver,Suspended,6/14/2005,Inactive
1053620-DCA,"ELEZEB, ABDULRAHMAN A",SUNSHINE DELI OF LENOX AVENUE,Tobacco Retail Dealer,Revoked,6/15/2005,Inactive
0967063-DCA,"G.A.N. CONTRACTING, INC.",,Home Improvement Contractor,Suspended,6/16/2005,Inactive
1023287-DCA,HOME CONSTRUCTION SERVICES INC.,,Home Improvement Contractor,Suspended,6/16/2005,Inactive
1032860-DCA,"MEDFORD, JOHN A JR.",,Home Improvement Contractor,Suspended,6/16/2005,Inactive
1057442-DCA,ZANIS RESTORATION INC.,,Home Improvement Contractor,Surrendered,6/16/2005,Inactive
1117443-DCA,"H & H HOUSE AND HOME SERVICE, INC.",,Home Improvement Contractor,Surrendered,6/16/2005,Inactive
1158585-DCA,"PANZICA, RONALD J",J & B CHIMNEY CONSULTANTS,Home Improvement Contractor,Revoked,6/16/2005,Inactive
1159467-DCA,YOLANDA DELI - GROCERY CORP.,,Tobacco Retail Dealer,Revoked,6/16/2005,Inactive
1163321-DCA,"RAY'S 25TH ST. DELI AND GROCERY, INC.",,Tobacco Retail Dealer,Suspended,6/16/2005,Inactive
0967066-DCA,,,Home Improvement Salesperson,Suspended,6/16/2005,Inactive
0967064-DCA,,,Home Improvement Salesperson,Suspended,6/16/2005,Inactive
1158587-DCA,,,Home Improvement Salesperson,Revoked,6/16/2005,Inactive
1032859-DCA,,,Home Improvement Salesperson,Suspended,6/16/2005,Inactive
1057441-DCA,,,Home Improvement Salesperson,Surrendered,6/16/2005,Inactive
1165311-DCA,T.C.L. INTERNATIONAL INC.,,Stoop Line Stand,Suspended,6/17/2005,Inactive
1186522-DCA,STANDARD PARKING CORPORATION,,Parking Lot,Surrendered,6/17/2005,Inactive
1189901-DCA,"3998 NEW YORK DELI & GROCERY, INC.",,Tobacco Retail Dealer,Surrendered,6/17/2005,Inactive
1103334-DCA,"CITY LINE HYUNDAI, INC.",BRONX RIVER HYUNDAI,Secondhand Dealer - Auto,Surrendered,6/20/2005,Inactive
0986360-DCA,USA CANADA GENERAL CONSTRUCTION INC.,,Home Improvement Contractor,Surrendered,6/21/2005,Inactive
1035653-DCA,THE CONSTRUCTION HOME NY CORP.,,Home Improvement Contractor,Surrendered,6/21/2005,Inactive
1106873-DCA,EXCELLENT ROOFING AND HOME IMPROVEMENT CORP.,,Home Improvement Contractor,Surrendered,6/21/2005,Inactive
1162324-DCA,ISC KRAFTSMEN INC.,,Home Improvement Contractor,Surrendered,6/21/2005,Inactive
0882152-DCA,"AMERICAN AUTO COLLISION & TOWING, INC.",,Tow Truck Company,Suspended,6/22/2005,Inactive
0895086-DCA,"SADDIQUE, MOHAMMED",TRUST CONSTRUCTION,Home Improvement Contractor,Surrendered,6/22/2005,Inactive
1025413-DCA,2000 U.S.A. CONSTRUCTION INC.,,Home Improvement Contractor,Surrendered,6/22/2005,Inactive
1045059-DCA,TIMBOCS SERVICE STATION INC.,,Tobacco Retail Dealer,Revoked,6/22/2005,Inactive
1125612-DCA,WANGS MART INTERNATIONAL CORPORATION,,Home Improvement Contractor,Surrendered,6/22/2005,Inactive
1143858-DCA,"SALCEDO, MARLIN",NEW ERA GROCERY,Tobacco Retail Dealer,Suspended,6/22/2005,Inactive
0836562-DCA,"COLMONE, GASPARE",G & C CONTRACTORS,Home Improvement Contractor,Surrendered,6/23/2005,Inactive
0886401-DCA,"CONSTRUCTION BY DONALD ROWE JR, INC",,Home Improvement Contractor,Surrendered,6/23/2005,Inactive
0898910-DCA,G & S INSTALLATION CO. INC.,,Home Improvement Contractor,Surrendered,6/23/2005,Inactive
0961280-DCA,ZURAP ZENGO,ZENGO MASONRY,Home Improvement Contractor,Surrendered,6/23/2005,Inactive
1064288-DCA,C WIN ASSOCIATES INC.,,Home Improvement Contractor,Surrendered,6/23/2005,Inactive
1101415-DCA,HONEST MARKETING INC.,,Secondhand Dealer - General,Surrendered,6/23/2005,Inactive
1168053-DCA,"THOMATOS, ADAMANTIOS",DIAMOND CONTRACTING CO,Home Improvement Contractor,Surrendered,6/23/2005,Inactive
0996362-DCA,"HERNANDEZ, DAVID",,Home Improvement Contractor,Surrendered,6/24/2005,Inactive
1075680-DCA,"SWABY, LEROY J",TWO IN ONE CONSTRUCTION,Home Improvement Contractor,Surrendered,6/24/2005,Inactive
1193486-DCA,FRIENDLY MOTOR SALES INC.,,Secondhand Dealer - Auto,Surrendered,6/24/2005,Inactive
0839866-DCA,"IANNI, ANTHONY",ANTHONY IANNI LANDSCAPING,Home Improvement Contractor,Surrendered,6/27/2005,Inactive
0858775-DCA,75-17 METROPOLITAN AVE MARKET INC,,Stoop Line Stand,Suspended,6/27/2005,Inactive
1081253-DCA,"SAYED, NAGI SALEH M",YEMEN DELI & GROCERY OF FIRST AVENUE,Tobacco Retail Dealer,Surrendered,6/27/2005,Inactive
1140230-DCA,"MARMARA IRONWORKS, INC.",,Home Improvement Contractor,Surrendered,6/27/2005,Inactive
1155903-DCA,"HAN, NAM S",,Home Improvement Contractor,Surrendered,6/27/2005,Inactive
1185535-DCA,"PADILLA, LUIS",MARESUA GROCERY,Tobacco Retail Dealer,Surrendered,6/27/2005,Inactive
1197829-DCA,"SERAJUDDOWLA, RUTH",,Home Improvement Contractor,Surrendered,6/27/2005,Inactive
0907712-DCA,"CANGIALOSI, VINCENT G",,Home Improvement Contractor,Surrendered,6/28/2005,Inactive
0924767-DCA,"DABAH BROS., INC.",D J'S ELECTRONICS,Electronics Store,Suspended,6/28/2005,Inactive
1023698-DCA,"ILLAS, JULIO",JULIO ILLAS CONSTRUCTION,Home Improvement Contractor,Surrendered,6/28/2005,Inactive
1034307-DCA,"AMIN, MOHAMMED RASHUL",AMIN CONSTRUCTION CO,Home Improvement Contractor,Surrendered,6/28/2005,Inactive
1081700-DCA,"SALEH, ADEEB ABDO",EXPRESS DELI SUPERMARKET,Tobacco Retail Dealer,Revoked,6/28/2005,Inactive
1089414-DCA,"MORDAN AWNING & IRON WORKS, INC.",,Home Improvement Contractor,Surrendered,6/28/2005,Inactive
1135535-DCA,"NEWMAN DENNIS, VALERIE",NEWDEN CONSTRUCTION CO.,Home Improvement Contractor,Surrendered,6/28/2005,Inactive
1168429-DCA,"GODREI, ANDRAS",VILLAGE CONTRACTING,Home Improvement Contractor,Surrendered,6/28/2005,Inactive
1180954-DCA,"MUNOZ, JUAN CARLOS",,Home Improvement Contractor,Surrendered,6/28/2005,Inactive
1192553-DCA,"HAQ, TAUQUEER UL",EMPIRE ROOFING & WATERPROOFING,Home Improvement Contractor,Surrendered,6/28/2005,Inactive
1023694-DCA,,,Home Improvement Salesperson,Surrendered,6/28/2005,Inactive
0850130-DCA,"MAHIL, MANJIT S",WISEMAN CONSTRUCTION COMPANY,Home Improvement Contractor,Surrendered,6/29/2005,Inactive
1042024-DCA,"FERNANDEZ, LORENZO",FERNANDEZ GROCERY,Tobacco Retail Dealer,Surrendered,6/29/2005,Inactive
1059891-DCA,"GIRON, EDGAR",,Home Improvement Contractor,Surrendered,6/29/2005,Inactive
1122167-DCA,"CARTER, KARL A",E-MAC CONSULTING,Home Improvement Contractor,Surrendered,6/30/2005,Inactive
1147186-DCA,"YI, SONG H",,Home Improvement Contractor,Surrendered,6/30/2005,Inactive
1155660-DCA,"KILLEEN, MICHAEL J",,Home Improvement Contractor,Surrendered,6/30/2005,Inactive
0807315-DCA,"MAHMOOD, SULTAN",K & S CONSTRUCTION,Home Improvement Contractor,Surrendered,7/1/2005,Inactive
0976899-DCA,"SYSTEM/2 DEVICES, INC.",,Home Improvement Contractor,Surrendered,7/1/2005,Inactive
1065650-DCA,INTERSTAR COMMUNICATION CORP.,,Electronics Store,Suspended,7/1/2005,Inactive
1159770-DCA,PEOPLE WIRELESS INC.,,Electronic & Appliance Service,Surrendered,7/2/2005,Inactive
0887539-DCA,LUQUE TRADING CORP.,,Stoop Line Stand,Suspended,7/5/2005,Inactive
1106062-DCA,"LAICAJ, DASHAMIR",DL RESTORATION COMPANY,Home Improvement Contractor,Surrendered,7/5/2005,Inactive
1173058-DCA,NYC CHOPPERS,,Home Improvement Contractor,Surrendered,7/5/2005,Inactive
1185755-DCA,STANDARD PARKING CORPORATION,,Parking Lot,Surrendered,7/5/2005,Inactive
1179670-DCA,"BC TELECOMM, INC.",,Electronics Store,Suspended,7/6/2005,Inactive
1062504-DCA,,,Home Improvement Salesperson,Suspended,7/6/2005,Inactive
1101568-DCA,ISOLITIGNOTI INC.,,Sidewalk Cafe,Surrendered,7/7/2005,Inactive
1136229-DCA,J & M DELI GROCERY INC.,,Tobacco Retail Dealer,Suspended,7/8/2005,Inactive
1136431-DCA,AMIN ALTAYYAR,A & M,Tobacco Retail Dealer,Revoked,7/8/2005,Inactive
1183456-DCA,HUDSON RIVER GARAGE 3 LLC,,Parking Lot,Surrendered,7/8/2005,Inactive
1183459-DCA,"HUDSON RIVER GARAGE 5,LLC",,Parking Lot,Surrendered,7/8/2005,Inactive
1038089-DCA,NEW M. T. CONSTRUCTION INC.,,Home Improvement Contractor,Surrendered,7/11/2005,Inactive
1056896-DCA,"AHMAD, MUBASSHAR",AHMAD NEWSTAND AND NOVELTIES,Tobacco Retail Dealer,Surrendered,7/11/2005,Inactive
1104074-DCA,"G. BELL, INC.",,Sidewalk Cafe,Suspended,7/11/2005,Inactive
0824438-DCA,,,Home Improvement Salesperson,Surrendered,7/11/2005,Inactive
1073243-DCA,"THOMAS, JOSEPH PEYTON",COWBOY CARPENTRY,Home Improvement Contractor,Surrendered,7/12/2005,Inactive
1076963-DCA,1ST & 96TH MANAGEMENT INC.,,Tobacco Retail Dealer,Revoked,7/12/2005,Inactive
1085395-DCA,"ALI, HAMID S",1222 GROCERY,Tobacco Retail Dealer,Revoked,7/12/2005,Inactive
1086733-DCA,"MATOS, EDWIN",CASTLE HILL DELI,Tobacco Retail Dealer,Surrendered,7/12/2005,Inactive
1159479-DCA,"STOP N BUY, INC",,Tobacco Retail Dealer,Surrendered,7/12/2005,Inactive
1168804-DCA,A & R FOOD & GROCERY CORP.,,Tobacco Retail Dealer,Revoked,7/12/2005,Inactive
1060367-DCA,,,Home Improvement Salesperson,Surrendered,7/12/2005,Inactive
1069231-DCA,"543 JASON MEAT MARKET, INC.",,Tobacco Retail Dealer,Surrendered,7/13/2005,Inactive
1132829-DCA,"CHAMAA JEWELRY, INC.",,Secondhand Dealer - General,Suspended,7/13/2005,Inactive
1176932-DCA,VICTORIA AUTO SALES INC.,,Secondhand Dealer - Auto,Surrendered,7/14/2005,Inactive
1046640-DCA,MLA GROCERY CORP.,,Tobacco Retail Dealer,Surrendered,7/15/2005,Inactive
1192993-DCA,QUIK PARK QUEENSBORO LLC,QUIK PARK INC.,Garage,Surrendered,7/15/2005,Inactive
0955515-DCA,,,Tow Truck Driver,Suspended,7/15/2005,Inactive
1156573-DCA,,,Tow Truck Driver,Suspended,7/15/2005,Inactive
0972581-DCA,,,Tow Truck Driver,Suspended,7/15/2005,Inactive
1193152-DCA,,,Tow Truck Driver,Suspended,7/15/2005,Inactive
1025652-DCA,,,Tow Truck Driver,Suspended,7/15/2005,Inactive
1190408-DCA,,,Tow Truck Driver,Suspended,7/15/2005,Inactive
1129706-DCA,,,Tow Truck Driver,Suspended,7/15/2005,Inactive
1081378-DCA,FICALORA BROTHERS CONSTRUCTION CORP.,,Home Improvement Contractor,Revoked,7/18/2005,Inactive
1110417-DCA,CJ 214 FOOD CORP,,Tobacco Retail Dealer,Suspended,7/18/2005,Inactive
1198290-DCA,SKYVIEW GENERAL CONSTRUCTION LTD.,,Home Improvement Contractor,Surrendered,7/18/2005,Inactive
0711540-DCA,,,Home Improvement Salesperson,Revoked,7/18/2005,Inactive
1008981-DCA,,,General Vendor,Surrendered,7/18/2005,Inactive
1163157-DCA,,,Process Server Individual,Suspended,7/18/2005,Inactive
1081385-DCA,,,Home Improvement Salesperson,Revoked,7/18/2005,Inactive
0895643-DCA,ALL TIME TOWING CORP.,,Tow Truck Company,Suspended,7/19/2005,Inactive
0910909-DCA,"BERNIE'S GLASS, INC.",,Home Improvement Contractor,Surrendered,7/19/2005,Inactive
1037122-DCA,"REYES, ALFIDA A",R & A AUTO SALES,Secondhand Dealer - Auto,Suspended,7/19/2005,Inactive
1159994-DCA,THREE SISTERS FOOD CORP.,,Tobacco Retail Dealer,Surrendered,7/19/2005,Inactive
0819971-DCA,"MEHTA,NALIN",,Newsstand,Surrendered,7/20/2005,Inactive
0985898-DCA,MAZON DISCOUNT STORE INC.,,Electronic & Appliance Service,Surrendered,7/20/2005,Inactive
1011253-DCA,"AMERICAN GENERAL CONTRACTING, INC.",,Home Improvement Contractor,Surrendered,7/20/2005,Inactive
1017654-DCA,MASTER BUILDERS CONSTRUCTION & DEVELOPMENT CORP.,,Home Improvement Contractor,Revoked,7/20/2005,Inactive
1094701-DCA,"SAJJAD, MOHAMMAD ASIF",STAR PAK CONTRACTING CO,Home Improvement Contractor,Surrendered,7/20/2005,Inactive
1115789-DCA,JOSEPH FOOD CORP.,,Tobacco Retail Dealer,Revoked,7/20/2005,Inactive
1153502-DCA,NU STONE PROJECTS INC.,,Home Improvement Contractor,Surrendered,7/20/2005,Inactive
1175484-DCA,"PALERMO TRADING GROUP, INC.",,Tobacco Retail Dealer,Suspended,7/20/2005,Inactive
1190793-DCA,E & S DRY CLEAN CORPORATION,,Laundry Jobber,Surrendered,7/20/2005,Inactive
1017577-DCA,,,Home Improvement Salesperson,Revoked,7/20/2005,Inactive
1011249-DCA,,,Home Improvement Salesperson,Surrendered,7/20/2005,Inactive
0915626-DCA,SALVATORE COLLISION & TOWING INC.,,Tow Truck Company,Suspended,7/21/2005,Inactive
1097466-DCA,"COMMUNICATIONS 2000, INC.",,Electronics Store,Surrendered,7/21/2005,Inactive
1054070-DCA,MEHTA & MEHTA NEWS CORP.,,Tobacco Retail Dealer,Surrendered,7/22/2005,Inactive
1087171-DCA,ENHANCED RECOVERY CORPORATION,,Debt Collection Agency,Surrendered,7/22/2005,Inactive
1174813-DCA,"FARA, HAMOOD D",SAMIRA CANDY STORE,Tobacco Retail Dealer,Suspended,7/23/2005,Inactive
1157184-DCA,2254 5TH AVE DELI GROCERY INC.,,Tobacco Retail Dealer,Revoked,7/25/2005,Inactive
1169892-DCA,ROLI MULTISERVICES CORP.,,Electronics Store,Surrendered,7/25/2005,Inactive
1025734-DCA,"PANTERA, MEG J","MEG PANRERA, THE AGENCY",Employment Agency,Surrendered,7/26/2005,Inactive
1068767-DCA,"TORRES, JOHN",,Home Improvement Contractor,Suspended,7/27/2005,Inactive
1123025-DCA,WORLDWIDE INC.,,Home Improvement Contractor,Revoked,7/27/2005,Inactive
1161199-DCA,"ROSADO, JOSE",SIGLO 21 DELI-GROCERY,Tobacco Retail Dealer,Suspended,7/27/2005,Inactive
1082427-DCA,"MENA, ANA",MENA GROCERY,Tobacco Retail Dealer,Surrendered,7/28/2005,Inactive
1190530-DCA,"ALI, SHAMSHIR",SONY NY CONSTRUCTION CO,Home Improvement Contractor,Surrendered,7/28/2005,Inactive
0918586-DCA,,,Process Server Individual,Surrendered,7/28/2005,Inactive
0921463-DCA,"KAZ SYSTEMS, INC.",,Parking Lot,Surrendered,8/1/2005,Inactive
1094279-DCA,"MANKOTIA, VIJAY J.",E.T. TIRE SHOP,Secondhand Dealer - General,Surrendered,8/1/2005,Inactive
1076877-DCA,"BARRANTES, GREGORIO & BARRANTES, EMMA",NEW YORK TRANSMISSION & USED AUTO SALES,Secondhand Dealer - General,Surrendered,8/2/2005,Inactive
1106423-DCA,MANHATTAN BUYERS INC.,,Secondhand Dealer - General,Surrendered,8/2/2005,Inactive
1186915-DCA,SUMMIT EMPLOYMENT AGENCY LLC,,Employment Agency,Surrendered,8/2/2005,Inactive
1188346-DCA,PAK OIL LUBE GROUP INC.,,Tobacco Retail Dealer,Surrendered,8/2/2005,Inactive
1083563-DCA,"J & K AWNINGS, CORP.",,Home Improvement Contractor,Revoked,8/3/2005,Inactive
1101664-DCA,"HUANG, JIN CHUAN",,Laundry,Surrendered,8/3/2005,Inactive
1123133-DCA,LA PLACITA LATINA CORP.,,Tobacco Retail Dealer,Suspended,8/3/2005,Inactive
1083564-DCA,,,Home Improvement Salesperson,Revoked,8/3/2005,Inactive
0925667-DCA,"WESTFAIR RESTORATION SERVICES, INC.",,Home Improvement Contractor,Surrendered,8/4/2005,Inactive
0921608-DCA,"FLEET AUTO SERVICE, INC.",,Tow Truck Company,Suspended,8/5/2005,Inactive
1019974-DCA,1517 FOOD CENTER INC.,,Stoop Line Stand,Suspended,8/5/2005,Inactive
1047869-DCA,"BIFULCO, SALVATORE & VIRTUOSO",LORIMER MEAT MARKET,Tobacco Retail Dealer,Suspended,8/8/2005,Inactive
1102310-DCA,"YOO, SUNG KEUN",NEW CINDY MARKET,Stoop Line Stand,Suspended,8/8/2005,Inactive
1114895-DCA,METROPOLITAN GRILL & DELI INC.,,Tobacco Retail Dealer,Revoked,8/8/2005,Inactive
1157325-DCA,LOS TORTUGOS GROCERY CORP.,,Tobacco Retail Dealer,Suspended,8/8/2005,Inactive
1157851-DCA,DBV CORP,,Stoop Line Stand,Suspended,8/8/2005,Inactive
