Neighborhood,Class,Units,YearBuilt,SqFt,Income,IncomePerSqFt,Expense,ExpensePerSqFt,NetIncome,Value,ValuePerSqFt,Boro
SOHO,R4-CONDOMINIUM,7,1904,50547,1558364,30.83,500415,9.9,1057949,7910000,156.49,Manhattan
SOHO,R4-CONDOMINIUM,13,1890,78982,2107240,26.68,841158,10.65,1266082,8723001,110.44,Manhattan
SOHO,R4-CONDOMINIUM,18,1874,27023,747186,27.65,278067,10.29,469119,3004090,111.17,Manhattan
SOHO,R4-CONDOMINIUM,13,1894,35452,945859,26.68,327931,9.25,617928,4467999,126.03,Manhattan
SOHO,R4-CONDOMINIUM,14,1920,36407,971339,26.68,336765,9.25,634574,4588002,126.02,Manhattan
SOHO,R4-CONDOMINIUM,41,2005,117311,4833213,41.2,1503927,12.82,3329286,24750019,210.98,Manhattan
SOHO,R4-CONDOMINIUM,14,1900,55210,1485149,26.9,607310,11,877839,6344002,114.91,Manhattan
SOHO,R4-CONDOMINIUM,10,1900,22500,719325,31.97,228375,10.15,490950,3671000,163.16,Manhattan
LITTLE ITALY,R4-CONDOMINIUM,37,1900,56714,1513130,26.68,606840,10.7,906290,6552998,115.54,Manhattan
LITTLE ITALY,R4-CONDOMINIUM,41,1926,83916,3052864,36.38,1022936,12.19,2029928,14962999,178.31,Manhattan
SOHO,R4-CONDOMINIUM,52,2005,73057,2998259,41.04,949741,13,2048518,15471003,211.77,Manhattan
SOHO,R4-CONDOMINIUM,9,1900,35700,1248429,34.97,425187,11.91,823242,6101000,170.9,Manhattan
SOHO,R4-CONDOMINIUM,10,1900,20525,552123,26.9,194782,9.49,357341,2588000,126.09,Manhattan
SOHO,R4-CONDOMINIUM,6,1929,42091,1131406,26.88,463001,11,668405,4839999,114.99,Manhattan
SOHO,R4-CONDOMINIUM,2,1900,9196,325354,35.38,109524,11.91,215830,1599000,173.88,Manhattan
SOHO,R4-CONDOMINIUM,4,1920,12506,442462,35.38,113429,9.07,329033,2243996,179.43,Manhattan
SOHO,R4-CONDOMINIUM,391,2007,343599,15898326,46.27,2576993,7.5,13321333,108989818,317.2,Manhattan
LITTLE ITALY,R4-CONDOMINIUM,44,1915,39087,1205052,30.83,450673,11.53,754379,5637002,144.22,Manhattan
LITTLE ITALY,R4-CONDOMINIUM,10,1900,11563,356487,30.83,107073,9.26,249414,1864000,161.2,Manhattan
LITTLE ITALY,R4-CONDOMINIUM,35,1988,24582,815877,33.19,231808,9.43,584069,3905011,158.86,Manhattan
LITTLE ITALY,R4-CONDOMINIUM,15,2007,28258,1141623,40.4,384309,13.6,757314,5722001,202.49,Manhattan
SOHO,R4-CONDOMINIUM,2,1900,3518,100298,28.51,44432,12.63,55866,420000,119.39,Manhattan
SOHO,R4-CONDOMINIUM,14,1900,18031,514244,28.52,170934,9.48,343310,2578997,143.03,Manhattan
SOHO,R4-CONDOMINIUM,10,1881,19827,533346,26.9,188158,9.49,345188,2497999,125.99,Manhattan
SOHO,R4-CONDOMINIUM,19,1988,34876,937467,26.88,419907,12.04,517560,3740001,107.24,Manhattan
SOHO,R4-CONDOMINIUM,14,2005,42823,1764308,41.2,383694,8.96,1380614,9944006,232.21,Manhattan
SOHO,R4-CONDOMINIUM,15,1907,20752,557814,26.88,249854,12.04,307960,2225002,107.22,Manhattan
SOHO,R4-CONDOMINIUM,29,1900,36223,973674,26.88,436125,12.04,537549,3884994,107.25,Manhattan
SOHO,R4-CONDOMINIUM,12,1879,34968,1237168,35.38,317160,9.07,920008,6802000,194.52,Manhattan
SOHO,R4-CONDOMINIUM,5,1879,31369,1109835,35.38,284517,9.07,825318,6102000,194.52,Manhattan
SOHO,R4-CONDOMINIUM,15,1920,31967,944625,29.55,355473,11.12,589152,4416999,138.17,Manhattan
SOHO,R4-CONDOMINIUM,35,1900,34821,936685,26.9,355174,10.2,581511,4202001,120.67,Manhattan
LITTLE ITALY,R4-CONDOMINIUM,22,1900,22511,611624,27.17,247621,11,364003,2627001,116.7,Manhattan
LITTLE ITALY,R4-CONDOMINIUM,26,1987,17117,515735,30.13,154053,9,361682,2708002,158.21,Manhattan
LITTLE ITALY,R4-CONDOMINIUM,5,1955,6635,162358,24.47,68341,10.3,94017,685000,103.24,Manhattan
LITTLE ITALY,R4-CONDOMINIUM,29,1900,97941,3182103,32.49,1166477,11.91,2015626,14282965,145.83,Manhattan
SOHO,R4-CONDOMINIUM,21,1900,107781,3181695,29.52,1150023,10.67,2031672,14499635,134.53,Manhattan
SOHO,R4-CONDOMINIUM,9,1900,15295,430554,28.15,168245,11,262309,1893001,123.77,Manhattan
SOHO,R4-CONDOMINIUM,32,2003,56800,2591784,45.63,966736,17.02,1625048,12223001,215.19,Manhattan
SOHO,R4-CONDOMINIUM,15,2003,41314,1461689,35.38,454454,11,1007235,7447000,180.25,Manhattan
SOHO,R4-CONDOMINIUM,16,2006,38591,1589949,41.2,463092,12,1126857,8510003,220.52,Manhattan
SOHO,R4-CONDOMINIUM,11,1915,37403,1105259,29.55,342986,9.17,762273,5715003,152.8,Manhattan
SOHO,R4-CONDOMINIUM,38,1900,33383,980793,29.38,371219,11.12,609574,4092003,122.58,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,18,1988,9514,362008,38.05,117878,12.39,244130,1693997,178.05,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,11,1910,31039,843330,27.17,325910,10.5,517420,3734001,120.3,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,11,1910,6670,172553,25.87,66700,10,105853,766999,114.99,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,144,1910,85234,2635435,30.92,937574,11,1697861,12685002,148.83,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,32,1986,35225,1114519,31.64,376908,10.7,737611,5502998,156.22,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,12,1986,15990,505924,31.64,171093,10.7,334831,2452998,153.41,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,20,1904,24630,742102,30.13,273886,11.12,468216,3505997,142.35,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,10,1900,14608,428453,29.33,163610,11.2,264843,1892002,129.52,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,21,1900,41990,1140868,27.17,440895,10.5,699973,5051001,120.29,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,10,2002,24910,916439,36.79,282978,11.36,633461,4675001,187.68,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,10,1900,18572,480643,25.88,198720,10.7,281923,2044001,110.06,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,1,1910,2527,55240,21.86,22162,8.77,33078,243000,96.16,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,26,2006,85000,3461200,40.72,1089700,12.82,2371500,17914001,210.75,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,56,1912,92500,3403075,36.79,1174750,12.7,2228325,16410007,177.41,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,10,1928,18064,498024,27.57,195091,10.8,302933,2123004,117.53,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,25,1920,88353,3299985,37.35,1054051,11.93,2245934,16517000,186.94,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,10,1895,46022,1197953,26.03,438129,9.52,759824,5508001,119.68,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,50,1930,96566,2916293,30.2,1110509,11.5,1805784,12319993,127.58,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,28,1986,43106,1188432,27.57,465545,10.8,722887,5209999,120.86,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,28,1966,32116,1027712,32,306065,9.53,721647,5380001,167.52,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,11,1905,28385,816353,28.76,310248,10.93,506105,3800999,133.91,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,41,1985,56483,1665119,29.48,598720,10.6,1066399,7995999,141.56,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,70,1905,90082,2630394,29.2,1001712,11.12,1628682,12219999,135.65,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,44,1988,57042,1711260,30,657694,11.53,1053566,7502011,131.52,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,84,2006,100500,4435065,44.13,1407000,14,3028065,22801995,226.89,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,102,1928,136144,3901887,28.66,1513921,11.12,2387966,17280554,126.93,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,44,1985,43542,1314968,30.2,447176,10.27,867792,6498003,149.24,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,7,1910,18493,498756,26.97,199170,10.77,299586,2163001,116.96,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,89,1921,81875,3104700,37.92,1049638,12.82,2055062,15556006,190,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,1,1921,3475,131772,37.92,44552,12.82,87220,660000,189.93,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,27,1907,66739,1799951,26.97,718779,10.77,1081172,7805999,116.96,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,12,1908,28097,757776,26.97,302580,10.77,455196,3286004,116.95,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,37,1910,52493,1510224,28.77,583722,11.12,926502,6957998,132.55,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,115,1903,60860,1799630,29.57,678589,11.15,1121041,8404981,138.1,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,7,1930,23079,560820,24.3,230790,10,330030,2400999,104.03,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,20,2006,36330,1718772,47.31,514796,14.17,1203976,9045002,248.97,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,17,1912,34118,897303,26.3,337427,9.89,559876,3882996,113.81,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,70,1966,82017,2359629,28.77,926792,11.3,1432837,10760004,131.19,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,105,1931,112050,4293756,38.32,1470096,13.12,2823660,21367002,190.69,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,77,1906,201330,6784821,33.7,2256909,11.21,4527912,33612001,166.95,Manhattan
GREENWICH VILLAGE-CENTRAL,R4-CONDOMINIUM,30,2008,33170,1697641,51.18,469024,14.14,1228617,9230999,278.29,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,43,1929,66282,2016961,30.43,764231,11.53,1252730,9369003,141.35,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,45,1900,21494,630419,29.33,247181,11.5,383238,2673000,124.36,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,18,1915,44820,1314571,29.33,380970,8.5,933601,7003000,156.25,Manhattan
SOHO,R4-CONDOMINIUM,104,2003,196695,8491323,43.17,2655383,13.5,5835940,43975002,223.57,Manhattan
SOHO,R4-CONDOMINIUM,22,1915,65085,2809719,43.17,922254,14.17,1887465,14222002,218.51,Manhattan
SOHO,R4-CONDOMINIUM,64,2005,94226,3799192,40.32,1224938,13,2574254,19452008,206.44,Manhattan
SOHO,R4-CONDOMINIUM,13,2005,29579,1302955,44.05,384527,13,918428,6915997,233.81,Manhattan
SOHO,R4-CONDOMINIUM,21,2007,40000,1485200,37.13,400000,10,1085200,7985000,199.63,Manhattan
SOHO,R4-CONDOMINIUM,19,2008,31608,1302250,41.2,283208,8.96,1019042,7696000,243.48,Manhattan
SOHO,R4-CONDOMINIUM,12,1920,24850,922681,37.13,248500,10,674181,4961001,199.64,Manhattan
SOHO,R4-CONDOMINIUM,12,1920,31613,850390,26.9,347743,11,502647,3632000,114.89,Manhattan
SOHO,R4-CONDOMINIUM,40,2005,68865,2893707,42.02,882849,12.82,2010858,15175997,220.37,Manhattan
SOHO,R4-CONDOMINIUM,10,1901,19533,488911,25.03,205097,10.5,283814,2067000,105.82,Manhattan
SOHO,R4-CONDOMINIUM,14,1920,31930,943532,29.55,355062,11.12,588470,4412002,138.18,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,184,1920,212232,7046102,33.2,2546784,12,4499318,33435001,157.54,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,6,1900,26000,863200,33.2,286000,11,577200,4297001,165.27,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,142,2002,310000,13953100,45.01,4402000,14.2,9551100,71871998,231.85,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,83,1920,88227,2803854,31.78,1041079,11.8,1762775,13147005,149.01,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,214,1961,165160,6650000,40.26,2250000,13.62,4400000,31141996,188.56,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,19,1912,58507,1683246,28.77,353382,6.04,1329864,7468999,127.66,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,113,1931,120723,4467958,37.01,1041839,8.63,3426119,25215996,208.87,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,21,1987,18780,802282,42.72,181978,9.69,620304,4679002,249.15,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,122,1964,92616,3600000,38.87,1240000,13.39,2360000,16715003,180.48,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,132,1987,101634,4415997,43.45,1114925,10.97,3301072,24869001,244.69,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,30,2008,62138,2490000,40.07,685000,11.02,1805000,13623998,219.25,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,22,1998,41506,1713368,41.28,331633,7.99,1381735,10434002,251.39,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,15,1983,27448,1031770,37.59,284361,10.36,747409,5494000,200.16,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,128,1910,138934,4922432,35.43,1424074,10.25,3498358,25860004,186.13,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,181,1930,159268,4801930,30.15,1624534,10.2,3177396,23793996,149.4,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,21,1907,30312,1207327,39.83,350710,11.57,856617,6474999,213.61,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,49,1962,32863,1184054,36.03,283279,8.62,900775,6645001,202.2,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,47,1920,123881,5460674,44.08,1521259,12.28,3939415,29664004,239.46,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,11,1920,23425,1004230,42.87,244089,10.42,760141,5733001,244.74,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,8,1988,8129,360602,44.36,97060,11.94,263542,1860000,228.81,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,77,1987,73176,3399025,46.45,948361,12.96,2450664,18422001,251.75,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,9,1990,22991,956426,41.6,208758,9.08,747668,5291999,230.18,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,24,1930,42407,1689071,39.83,490649,11.57,1198422,9059003,213.62,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,24,1997,38871,2034508,52.34,573736,14.76,1460772,10926999,281.11,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,20,1900,11852,486643,41.06,144831,12.22,341812,2581004,217.77,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,32,1913,48708,1940040,39.83,563552,11.57,1376488,10405004,213.62,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,81,1987,60200,3150868,52.34,888552,14.76,2262316,16921999,281.1,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,23,2001,88141,4320672,49.02,1284214,14.57,3036458,22767000,258.3,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,29,2004,72225,3780257,52.34,1066041,14.76,2714216,20302010,281.09,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,20,1905,48620,2360000,48.54,495000,10.18,1865000,14003001,288.01,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,24,1988,21991,914826,41.6,199678,9.08,715148,5398996,245.51,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,18,1999,39213,1631261,41.6,356054,9.08,1275207,9626999,245.51,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,61,2007,177550,10202023,57.46,2734270,15.4,7467753,55613000,313.22,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,27,1910,20546,789583,38.43,183476,8.93,606107,4585999,223.21,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,12,2007,48890,2526635,51.68,679571,13.9,1847064,13823000,282.74,Manhattan
GREENWICH VILLAGE-WEST,R4-CONDOMINIUM,84,1997,147335,6311831,42.84,1695826,11.51,4616005,34817007,236.31,Manhattan
CHELSEA,R4-CONDOMINIUM,25,2007,67671,2700073,39.9,607686,8.98,2092387,15815004,233.7,Manhattan
CHELSEA,R4-CONDOMINIUM,55,2007,137343,5500000,40.05,1665000,12.12,3835000,28938995,210.71,Manhattan
CHELSEA,R4-CONDOMINIUM,12,1930,28207,1123485,39.83,326355,11.57,797130,6025999,213.63,Manhattan
CHELSEA,R4-CONDOMINIUM,30,1930,72274,2878673,39.83,836210,11.57,2042463,15438999,213.62,Manhattan
CHELSEA,R4-CONDOMINIUM,6,1914,23702,944051,39.83,274232,11.57,669819,4740999,200.03,Manhattan
CHELSEA,R4-CONDOMINIUM,336,2005,272102,11841879,43.52,3308760,12.16,8533119,64280006,236.23,Manhattan
CHELSEA,R4-CONDOMINIUM,22,2004,49658,2219713,44.7,592420,11.93,1627293,12247999,246.65,Manhattan
CHELSEA,R4-CONDOMINIUM,11,2005,24000,1094640,45.61,187200,7.8,907440,6825003,284.38,Manhattan
CHELSEA,R4-CONDOMINIUM,16,2007,60964,2203239,36.14,601105,9.86,1602134,11817000,193.84,Manhattan
CHELSEA,R4-CONDOMINIUM,18,2007,49238,1658828,33.69,539156,10.95,1119672,8298001,168.53,Manhattan
CHELSEA,R4-CONDOMINIUM,181,2006,173100,7784307,44.97,2246838,12.98,5537469,41672990,240.75,Manhattan
CHELSEA,RR-CONDOMINIUM,288,2006,264402,7038381,26.62,2702188,10.22,4336193,21450000,81.13,Manhattan
CHELSEA,R4-CONDOMINIUM,42,1900,49892,2383341,47.77,376685,7.55,2006656,15070997,302.07,Manhattan
CHELSEA,R4-CONDOMINIUM,20,1920,22920,827979,36.12,262089,11.43,565890,4176999,182.24,Manhattan
CHELSEA,R4-CONDOMINIUM,47,2007,83950,3542690,42.2,1072881,12.78,2469809,18637000,222,Manhattan
CHELSEA,R4-CONDOMINIUM,10,2007,26615,1123153,42.2,340140,12.78,783013,5550003,208.53,Manhattan
CHELSEA,R4-CONDOMINIUM,22,2008,50490,2549240,50.49,548826,10.87,2000414,15008000,297.25,Manhattan
CHELSEA,R4-CONDOMINIUM,71,1989,54355,2293781,42.2,694657,12.78,1599124,12067006,222,Manhattan
CHELSEA,R4-CONDOMINIUM,39,1985,37431,1515207,40.48,490720,13.11,1024487,7293015,194.84,Manhattan
CHELSEA,R4-CONDOMINIUM,11,1900,8408,282593,33.61,113340,13.48,169253,1256998,149.5,Manhattan
CHELSEA,R4-CONDOMINIUM,79,1912,97500,4294875,44.05,1562925,16.03,2731950,20571999,210.99,Manhattan
CHELSEA,R4-CONDOMINIUM,52,1914,96088,3950178,41.11,826357,8.6,3123821,23590005,245.5,Manhattan
JAVITS CENTER,R4-CONDOMINIUM,52,1915,110799,2998221,27.06,1078074,9.73,1920147,13859998,125.09,Manhattan
CHELSEA,R4-CONDOMINIUM,22,1905,37402,1489722,39.83,432741,11.57,1056981,7990000,213.62,Manhattan
CHELSEA,R4-CONDOMINIUM,44,1985,53937,2164492,40.13,537752,9.97,1626740,12294001,227.93,Manhattan
CHELSEA,R4-CONDOMINIUM,26,1920,30908,1231066,39.83,357606,11.57,873460,6602999,213.63,Manhattan
CHELSEA,R4-CONDOMINIUM,11,1911,16083,687066,42.72,155844,9.69,531222,4006999,249.14,Manhattan
CHELSEA,R4-CONDOMINIUM,77,1948,36000,1433880,39.83,416520,11.57,1017360,7689994,213.61,Manhattan
CHELSEA,R4-CONDOMINIUM,14,1910,32450,1398920,43.11,344619,10.62,1054301,7906999,243.67,Manhattan
CHELSEA,R4-CONDOMINIUM,17,2002,15480,617652,39.9,139010,8.98,478642,3618000,233.72,Manhattan
FASHION,R4-CONDOMINIUM,20,1926,31962,1150952,36.01,316424,9.9,834528,6157002,192.64,Manhattan
FASHION,R4-CONDOMINIUM,36,2005,34168,1302484,38.12,366281,10.72,936203,7085000,207.36,Manhattan
CHELSEA,R4-CONDOMINIUM,16,1985,19718,758946,38.49,166026,8.42,592920,4485999,227.51,Manhattan
CHELSEA,R4-CONDOMINIUM,156,1989,141673,5535164,39.07,2139262,15.1,3395902,25409983,179.36,Manhattan
CHELSEA,R4-CONDOMINIUM,11,1910,62304,2446678,39.27,539553,8.66,1907125,14422000,231.48,Manhattan
CHELSEA,R4-CONDOMINIUM,31,1926,68206,2610926,38.28,774138,11.35,1836788,13900001,203.79,Manhattan
CHELSEA,R4-CONDOMINIUM,32,1907,83519,3239702,38.79,881125,10.55,2358577,10274000,123.01,Manhattan
CHELSEA,R4-CONDOMINIUM,37,2000,63723,2689111,42.2,814380,12.78,1874731,14147000,222.01,Manhattan
CHELSEA,R4-CONDOMINIUM,31,2002,52645,2482738,47.16,536453,10.19,1946285,11990012,227.75,Manhattan
CHELSEA,R4-CONDOMINIUM,69,1939,51717,1990587,38.49,435457,8.42,1555130,10844996,209.7,Manhattan
CHELSEA,R4-CONDOMINIUM,109,1962,99750,3839378,38.49,839895,8.42,2999483,15289997,153.28,Manhattan
CHELSEA,R4-CONDOMINIUM,14,2004,23052,877359,38.06,208160,9.03,669199,5064999,219.72,Manhattan
CHELSEA,R4-CONDOMINIUM,43,1910,82151,3206354,39.03,789471,9.61,2416883,17850002,217.28,Manhattan
CHELSEA,R4-CONDOMINIUM,12,2002,33378,1271368,38.09,322765,9.67,948603,7178998,215.08,Manhattan
CHELSEA,R4-CONDOMINIUM,19,2006,27784,1025230,36.9,296733,10.68,728497,5363000,193.02,Manhattan
CHELSEA,R4-CONDOMINIUM,20,2004,36967,1462045,39.55,433623,11.73,1028422,7775001,210.32,Manhattan
CHELSEA,R4-CONDOMINIUM,12,1900,44800,1651328,36.86,579712,12.94,1071616,7889998,176.12,Manhattan
CHELSEA,R4-CONDOMINIUM,351,1910,552679,24666064,44.63,5399674,9.77,19266390,145023999,262.4,Manhattan
FASHION,R4-CONDOMINIUM,52,2006,66978,2471488,36.9,715325,10.68,1756163,12928998,193.03,Manhattan
FASHION,R4-CONDOMINIUM,24,1927,52598,1870911,35.57,624338,11.87,1246573,9213001,175.16,Manhattan
FASHION,R4-CONDOMINIUM,29,1986,26864,955552,35.57,318876,11.87,636676,4704995,175.14,Manhattan
CHELSEA,RR-CONDOMINIUM,213,2001,180281,8718389,48.36,2084048,11.56,6634341,46757000,259.36,Manhattan
CHELSEA,RR-CONDOMINIUM,62,2001,97866,3452712,35.28,785864,8.03,2666848,19721000,201.51,Manhattan
CHELSEA,R4-CONDOMINIUM,35,1900,61572,1930282,31.35,658205,10.69,1272077,9494998,154.21,Manhattan
CHELSEA,R4-CONDOMINIUM,9,1907,19713,757571,38.43,176037,8.93,581534,4122000,209.1,Manhattan
CHELSEA,R4-CONDOMINIUM,51,2001,111514,4214114,37.79,846391,7.59,3367723,25494003,228.62,Manhattan
CHELSEA,R4-CONDOMINIUM,18,1910,54708,2179020,39.83,632972,11.57,1546048,11686998,213.63,Manhattan
CHELSEA,R4-CONDOMINIUM,38,2008,70840,3500000,49.41,775000,10.94,2725000,19178001,270.72,Manhattan
CHELSEA,R4-CONDOMINIUM,64,2005,118000,4960000,42.03,1360000,11.53,3600000,25460999,215.77,Manhattan
CHELSEA,R4-CONDOMINIUM,26,2006,45457,1898739,41.77,400476,8.81,1498263,11309001,248.78,Manhattan
CHELSEA,R4-CONDOMINIUM,67,1903,120050,5800816,48.32,1559450,12.99,4241366,31818001,265.04,Manhattan
CHELSEA,R4-CONDOMINIUM,45,1987,31800,1126992,35.44,332628,10.46,794364,5871998,184.65,Manhattan
CHELSEA,R4-CONDOMINIUM,28,1875,41294,1644740,39.83,477772,11.57,1166968,8821002,213.61,Manhattan
CHELSEA,R4-CONDOMINIUM,15,1905,32085,1277946,39.83,371223,11.57,906723,6854000,213.62,Manhattan
CHELSEA,R4-CONDOMINIUM,49,1900,84890,4101885,48.32,1102721,12.99,2999164,20680008,243.61,Manhattan
CHELSEA,R4-CONDOMINIUM,52,2006,77419,3500000,45.21,813000,10.5,2687000,18963992,244.95,Manhattan
CHELSEA,R4-CONDOMINIUM,22,1911,58449,2267237,38.79,616637,10.55,1650600,12487002,213.64,Manhattan
CHELSEA,R4-CONDOMINIUM,6,1913,17234,654375,37.97,183370,10.64,471005,3258000,189.04,Manhattan
CHELSEA,R4-CONDOMINIUM,13,2003,37035,1366592,36.9,395534,10.68,971058,6661653,179.87,Manhattan
CHELSEA,R4-CONDOMINIUM,52,1911,68395,2890373,42.26,802957,11.74,2087416,15751002,230.29,Manhattan
CHELSEA,R4-CONDOMINIUM,120,1973,80000,3648800,45.61,624000,7.8,3024800,22750980,284.39,Manhattan
CHELSEA,R4-CONDOMINIUM,20,1950,28124,938498,33.37,214024,7.61,724474,5381999,191.37,Manhattan
CHELSEA,R4-CONDOMINIUM,33,2006,66937,2795958,41.77,589715,8.81,2206243,16653002,248.79,Manhattan
CHELSEA,R4-CONDOMINIUM,99,2008,112888,4266038,37.79,856820,7.59,3409218,25807998,228.62,Manhattan
CHELSEA,R4-CONDOMINIUM,20,1920,23621,1121289,47.47,292900,12.4,828389,6223001,263.45,Manhattan
CHELSEA,R4-CONDOMINIUM,33,1911,75929,3472233,45.73,981003,12.92,2491230,18736999,246.77,Manhattan
CHELSEA,R4-CONDOMINIUM,10,1913,27100,1254188,46.28,313547,11.57,940641,6639000,244.98,Manhattan
CHELSEA,R4-CONDOMINIUM,203,2006,334205,15674215,46.9,4391454,13.14,11282761,84787998,253.7,Manhattan
CHELSEA,R4-CONDOMINIUM,25,1922,48276,1922833,39.83,558553,11.57,1364280,10313002,213.63,Manhattan
CHELSEA,R4-CONDOMINIUM,24,1911,70181,3121651,44.48,1158688,16.51,1962963,14777002,210.56,Manhattan
CHELSEA,R4-CONDOMINIUM,8,1905,28339,1128742,39.83,327882,11.57,800860,5672000,200.15,Manhattan
CHELSEA,R4-CONDOMINIUM,93,1926,94649,4364265,46.11,1160397,12.26,3203868,24090997,254.53,Manhattan
CHELSEA,R4-CONDOMINIUM,10,1902,16720,714278,42.72,162017,9.69,552261,3898001,233.13,Manhattan
